date,daily_total_apedo,hour,hourly_steps_apedo,cumulative_daily_steps_apedo,daily_total_fbit,hourly_steps_fbit,cumulative_daily_steps_fbit,dow,week_weekend,hour_diff_apedo_fbit
2018-03-20,16740,6,0,0,15562,281,281,Tue,Weekday,-281
2018-03-20,16740,7,977,977,15562,1034,1315,Tue,Weekday,-57
2018-03-20,16740,8,341,1318,15562,1605,2920,Tue,Weekday,-1264
2018-03-20,16740,9,1741,3059,15562,223,3143,Tue,Weekday,1518
2018-03-20,16740,10,223,3282,15562,287,3430,Tue,Weekday,-64
2018-03-20,16740,11,226,3508,15562,188,3618,Tue,Weekday,38
2018-03-20,16740,12,283,3791,15562,1124,4742,Tue,Weekday,-841
2018-03-20,16740,13,1587,5378,15562,525,5267,Tue,Weekday,1062
2018-03-20,16740,14,431,5809,15562,372,5639,Tue,Weekday,59
2018-03-20,16740,15,624,6433,15562,392,6031,Tue,Weekday,232
2018-03-20,16740,16,15,6448,15562,1606,7637,Tue,Weekday,-1591
2018-03-20,16740,17,2600,9048,15562,2115,9752,Tue,Weekday,485
2018-03-20,16740,18,5498,14546,15562,3854,13606,Tue,Weekday,1644
2018-03-20,16740,19,802,15348,15562,633,14239,Tue,Weekday,169
2018-03-20,16740,20,405,15753,15562,640,14879,Tue,Weekday,-235
2018-03-20,16740,21,428,16181,15562,640,15519,Tue,Weekday,-212
2018-03-20,16740,22,559,16740,15562,43,15562,Tue,Weekday,516
2018-03-20,16740,23,0,16740,15562,0,15562,Tue,Weekday,0
2018-03-21,14197,6,0,0,15305,238,238,Wed,Weekday,-238
2018-03-21,14197,7,262,262,15305,1122,1360,Wed,Weekday,-860
2018-03-21,14197,8,1982,2244,15305,2234,3594,Wed,Weekday,-252
2018-03-21,14197,9,678,2922,15305,214,3808,Wed,Weekday,464
2018-03-21,14197,10,328,3250,15305,176,3984,Wed,Weekday,152
2018-03-21,14197,11,138,3388,15305,263,4247,Wed,Weekday,-125
2018-03-21,14197,12,598,3986,15305,426,4673,Wed,Weekday,172
2018-03-21,14197,13,318,4304,15305,618,5291,Wed,Weekday,-300
2018-03-21,14197,14,468,4772,15305,518,5809,Wed,Weekday,-50
2018-03-21,14197,15,427,5199,15305,332,6141,Wed,Weekday,95
2018-03-21,14197,16,202,5401,15305,281,6422,Wed,Weekday,-79
2018-03-21,14197,17,1138,6539,15305,3143,9565,Wed,Weekday,-2005
2018-03-21,14197,18,0,6539,15305,3400,12965,Wed,Weekday,-3400
2018-03-21,14197,19,6711,13250,15305,1268,14233,Wed,Weekday,5443
2018-03-21,14197,20,743,13993,15305,442,14675,Wed,Weekday,301
